ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9593105,HX243596,04/30/2014 8:45:00 PM,039XX W JACKSON BLVD,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,1132,011,28,26,24,1149968,1898352,2014,05/03/2014,41.8769884,-87.72482807,"(41.87698839624197, -87.72482807252031)"
9593137,HX243589,04/30/2014 8:40:00 PM,009XX W 54TH PL,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,0934,009,20,61,26,1171167,1868647,2014,05/03/2014,41.7950364,-87.64786223,"(41.79503639880792, -87.64786223410567)"
9593223,HX243627,04/30/2014 8:40:00 PM,054XX S DREXEL AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,0233,002,5,41,15,1183193,1869660,2014,05/03/2014,41.79754455,-87.60373172,"(41.7975445502344, -87.60373171850239)"
9593187,HX243661,04/30/2014 8:40:00 PM,060XX S VERNON AVE,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,APARTMENT,true,false,0313,003,20,42,18,1180345,1865263,2014,05/04/2014,41.78554464,-87.6143105,"(41.78554463655033, -87.6143105039737)"
9593127,HX243616,04/30/2014 8:35:00 PM,059XX W IRVING PARK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,BANK,false,false,1624,016,38,15,14,1135822,1926020,2014,05/03/2014,41.95317615,-87.77610871,"(41.95317615058628, -87.77610870724125)"
9593134,HX243574,04/30/2014 8:30:00 PM,011XX S FRANCISCO AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1135,011,28,29,18,1157239,1894909,2014,05/04/2014,41.8673959,-87.69822454,"(41.86739589684553, -87.69822453998906)"
9593264,HX243603,04/30/2014 8:30:00 PM,019XX W CERMAK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1034,010,25,31,08B,1163446,1889371,2014,05/07/2014,41.85207083,-87.67559344,"(41.85207082812057, -87.67559344439253)"
9593138,HX243583,04/30/2014 8:30:00 PM,012XX N CLEVELAND AVE,0810,THEFT,OVER $500,RESTAURANT,false,false,1821,018,27,8,06,1172719,1908808,2014,05/03/2014,41.90520729,-87.6409837,"(41.90520728704616, -87.64098369821868)"
9593082,HX243576,04/30/2014 8:30:00 PM,008XX N STATE ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,CTA STATION,true,false,1833,018,42,8,11,1176264,1905760,2014,05/03/2014,41.89676418,-87.62805397,"(41.896764178572475, -87.62805396572979)"
9593235,HX243622,04/30/2014 8:30:00 PM,014XX N KEDVALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,false,2534,025,37,23,08B,1148415,1909274,2014,05/03/2014,41.90698961,-87.73024841,"(41.906989614530055, -87.7302484091629)"
9593171,HX243654,04/30/2014 8:30:00 PM,082XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,CURRENCY EXCHANGE,false,false,0631,006,6,44,06,1182959,1850274,2014,05/03/2014,41.74435295,-87.60519169,"(41.74435295370407, -87.6051916915872)"
9593285,HX243717,04/30/2014 8:30:00 PM,041XX W 69TH ST,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,RESIDENCE,false,false,0833,008,13,65,24,1150002,1858483,2014,05/03/2014,41.76758167,-87.72573843,"(41.767581670121515, -87.72573843392354)"
9593146,HX243595,04/30/2014 8:25:00 PM,040XX W GRENSHAW ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,true,false,1132,011,24,29,18,1149546,1894773,2014,05/04/2014,41.86717541,-87.72647045,"(41.86717540679958, -87.72647045097753)"
9593188,HX243541,04/30/2014 8:25:00 PM,002XX W 103RD ST,1330,CRIMINAL TRESPASS,TO LAND,SMALL RETAIL STORE,true,false,0512,005,34,49,26,1176695,1836606,2014,05/03/2014,41.70698932,-87.62855358,"(41.706989321806866, -87.62855358132946)"
9593231,HX243540,04/30/2014 8:20:00 PM,029XX W MADISON ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,1222,012,2,27,16,1156997,1899923,2014,05/04/2014,41.88115972,-87.69897692,"(41.88115972446192, -87.69897692185536)"
9593080,HX243553,04/30/2014 8:20:00 PM,078XX S CORNELL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,0411,004,8,43,18,1188560,1853266,2014,05/04/2014,41.75243139,-87.58457387,"(41.752431394352826, -87.58457386659347)"
9600681,HX250857,04/30/2014 8:17:00 PM,062XX W HENDERSON ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,true,1633,016,36,17,26,1134094,1921574,2014,05/07/2014,41.94100651,-87.7825661,"(41.94100650737857, -87.7825660971985)"
9593100,HX243566,04/30/2014 8:15:00 PM,033XX W NORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,1422,014,26,23,18,1153638,1910391,2014,05/04/2014,41.90995239,-87.71103224,"(41.90995239332766, -87.71103223676545)"
